,R-HSA-114452,R-HSA-111465,R-HSA-888590,R-HSA-380615,R-HSA-442755,R-HSA-1168372,R-HSA-1169410,R-HSA-1222499,R-HSA-8941413,R-HSA-8863795,R-HSA-9652282,R-HSA-9634285,R-HSA-9664565,R-HSA-9665230,R-HSA-9665348,R-HSA-9665686,R-HSA-9665737,R-HSA-1234176,R-HSA-1251985,R-HSA-1236975,R-HSA-6807070,R-HSA-1461973,R-HSA-1483206,R-HSA-2473224,R-HSA-156581,R-HSA-156588,R-HSA-156590,R-HSA-171306,R-HSA-9670095,R-HSA-190828,R-HSA-159854,R-HSA-1237112,R-HSA-1614603,R-HSA-162587,R-HSA-162909,R-HSA-1638074,R-HSA-1638091,R-HSA-1793185,R-HSA-2142845,R-HSA-611105,R-HSA-5637812,R-HSA-5637815,R-HSA-8948216,R-HSA-166016,R-HSA-187037,R-HSA-166663,R-HSA-166665,R-HSA-174577,R-HSA-977606,R-HSA-168138,R-HSA-168142,R-HSA-168164,R-HSA-168176,R-HSA-168181,R-HSA-168268,R-HSA-168273,R-HSA-622312,R-HSA-1679131,R-HSA-181438,R-HSA-5686938,R-HSA-933542,R-HSA-211733,R-HSA-2173789,R-HSA-2173793,R-HSA-174143,R-HSA-1912408,R-HSA-1912420,R-HSA-204998,R-HSA-194068,R-HSA-194306,R-HSA-4420097,R-HSA-195258,R-HSA-9012999,R-HSA-196071,R-HSA-196741,R-HSA-196757,R-HSA-196780,R-HSA-196807,R-HSA-196836,R-HSA-199220,R-HSA-204005,R-HSA-5694530,R-HSA-6807878,R-HSA-432720,R-HSA-432722,R-HSA-201722,R-HSA-3769402,R-HSA-4641257,R-HSA-4641258,R-HSA-2214320,R-HSA-2243919,R-HSA-202424,R-HSA-2029481,R-HSA-2029482,R-HSA-2029485,R-HSA-2046104,R-HSA-209905,R-HSA-71384,R-HSA-8937144,R-HSA-2032785,R-HSA-3700989,R-HSA-8853884,R-HSA-8864260,R-HSA-8878159,R-HSA-8878166,R-HSA-8878171,R-HSA-9614085,R-HSA-2142753,R-HSA-2424491,R-HSA-2428924,R-HSA-2408508,R-HSA-2730905,R-HSA-2871796,R-HSA-2871809,R-HSA-2871837,R-HSA-2453864,R-HSA-6809583,R-HSA-2555396,R-HSA-2559580,R-HSA-2559582,R-HSA-2559586,R-HSA-2682334,R-HSA-3108232,R-HSA-3215018,R-HSA-3323169,R-HSA-3371453,R-HSA-3371511,R-HSA-3371571,R-HSA-350562,R-HSA-3560782,R-HSA-373076,R-HSA-373755,R-HSA-373760,R-HSA-375165,R-HSA-376176,R-HSA-3781860,R-HSA-3906995,R-HSA-5609975,R-HSA-381033,R-HSA-381070,R-HSA-381042,R-HSA-4086400,R-HSA-416476,R-HSA-418555,R-HSA-418594,R-HSA-389958,R-HSA-390918,R-HSA-1989781,R-HSA-400451,R-HSA-418990,R-HSA-381676,R-HSA-373752,R-HSA-425410,R-HSA-352230,R-HSA-425381,R-HSA-804914,R-HSA-1660662,R-HSA-532668,R-HSA-446343,R-HSA-446388,R-HSA-446652,R-HSA-447115,R-HSA-449836,R-HSA-512988,R-HSA-6783783,R-HSA-6785807,R-HSA-69275,R-HSA-69206,R-HSA-5173214,R-HSA-5675482,R-HSA-427389,R-HSA-5250924,R-HSA-427359,R-HSA-427413,R-HSA-5336415,R-HSA-140534,R-HSA-5365859,R-HSA-5362768,R-HSA-5578997,R-HSA-5579006,R-HSA-5579007,R-HSA-5602498,R-HSA-5603041,R-HSA-5607764,R-HSA-5610780,R-HSA-5610783,R-HSA-5610785,R-HSA-5678895,R-HSA-5682113,R-HSA-5619049,R-HSA-5619050,R-HSA-5619060,R-HSA-5660862,R-HSA-5621575,R-HSA-5652227,R-HSA-70350,R-HSA-5657560,R-HSA-5662853,R-HSA-6791465,R-HSA-5676590,R-HSA-5673001,R-HSA-5688031,R-HSA-5688849,R-HSA-5688890,R-HSA-5689603,R-HSA-5689880,R-HSA-5689901,R-HSA-5693567,R-HSA-5693565,R-HSA-5696394,R-HSA-6802949,R-HSA-6802946,R-HSA-6802948,R-HSA-6802952,R-HSA-6802955,R-HSA-9656223,R-HSA-9660537,R-HSA-6799990,R-HSA-6806942,R-HSA-8875878,R-HSA-6811438,R-HSA-8856688,R-HSA-68616,R-HSA-68875,R-HSA-68877,R-HSA-68949,R-HSA-69017,R-HSA-69656,R-HSA-75815,R-HSA-69473,R-HSA-69580,R-HSA-69613,R-HSA-70171,R-HSA-70263,R-HSA-70268,R-HSA-71403,R-HSA-72163,R-HSA-73728,R-HSA-73772,R-HSA-73927,R-HSA-73928,R-HSA-77108,R-HSA-77111,R-HSA-114608,R-HSA-606279,R-HSA-8866654,R-HSA-8856825,R-HSA-8863678,R-HSA-9009391,R-HSA-9018519,R-HSA-73621,R-HSA-73614,R-HSA-196791,R-HSA-8963684,R-HSA-8866423,R-HSA-8963888,R-HSA-8963896,R-HSA-8963889,R-HSA-8963901,R-HSA-8964041,R-HSA-8964058,R-HSA-8964011,R-HSA-8964026,R-HSA-8964038,R-HSA-8964046,R-HSA-77289,R-HSA-1474151,R-HSA-389542,R-HSA-163560,R-HSA-3322077,R-HSA-70221,R-HSA-8876198,R-HSA-9013695,R-HSA-9013700,R-HSA-9604323,R-HSA-9018677,R-HSA-9018679,R-HSA-9029569,R-HSA-877300,R-HSA-909733,R-HSA-9609690,R-HSA-9610379,R-HSA-9637628,R-HSA-9637690,R-HSA-9657688,R-HSA-9657689,R-HSA-9662001,R-HSA-9668250,R-HSA-9672383,R-HSA-9664407,R-HSA-9664424,R-HSA-9664433,R-HSA-9613354,R-HSA-9646399,R-HSA-9678108,R-HSA-9679191,R-HSA-9694516,R-HSA-9700645,R-HSA-9725370,R-HSA-3299685,R-HSA-9707564,R-HSA-9755511,R-HSA-983168,R-HSA-983170,R-HSA-5690714,R-HSA-983695,R-HSA-75205,R-HSA-75892,R-HSA-2534343,R-HSA-381340,R-HSA-9616222,R-HSA-9690406,R-HSA-198933,R-HSA-2132295,R-HSA-392517,R-HSA-140834,R-HSA-140837,R-HSA-140875,R-HSA-1475029,R-HSA-1442490,R-HSA-1592389,R-HSA-1566977,R-HSA-216083,R-HSA-3000157,R-HSA-3000178,R-HSA-1237044,R-HSA-1247673,R-HSA-1855231,R-HSA-1221632,R-HSA-912446,R-HSA-373753,R-HSA-2129379,R-HSA-2151201,R-HSA-8949613,R-HSA-2028269,R-HSA-163680,R-HSA-163754,R-HSA-166208,R-HSA-6798695,R-HSA-879415,R-HSA-189451,R-HSA-189483,R-HSA-195253,R-HSA-1445148,R-HSA-917729,R-HSA-203615,R-HSA-210990,R-HSA-210991,R-HSA-5578749,R-HSA-5601884,R-HSA-9708296,R-HSA-5423646,R-HSA-212300,R-HSA-5334118,R-HSA-2161541,R-HSA-2168880,R-HSA-3000471,R-HSA-3000480,R-HSA-3000484,R-HSA-3000497,R-HSA-2453902,R-HSA-975634,R-HSA-3371497,R-HSA-9707616,R-HSA-2022377,R-HSA-422085,R-HSA-3000170,R-HSA-3214815,R-HSA-3214841,R-HSA-3214842,R-HSA-3214847,R-HSA-3214858,R-HSA-354194,R-HSA-372708,R-HSA-5223345,R-HSA-8981607,R-HSA-1369062,R-HSA-389977,R-HSA-381426,R-HSA-5683826,R-HSA-977225,R-HSA-390522,R-HSA-445355,R-HSA-1368108,R-HSA-432142,R-HSA-446107,R-HSA-450385,R-HSA-450408,R-HSA-450513,R-HSA-450604,R-HSA-5620971,R-HSA-5358346,R-HSA-5632684,R-HSA-5578768,R-HSA-5620912,R-HSA-5620924,R-HSA-5617472,R-HSA-5661231,R-HSA-2978092,R-HSA-5687128,R-HSA-5693571,R-HSA-163125,R-HSA-8873719,R-HSA-8876725,R-HSA-8951664,R-HSA-8955332,R-HSA-8957275,R-HSA-6809371,R-HSA-389661,R-HSA-6798163,R-HSA-70635,R-HSA-70895,R-HSA-71240,R-HSA-8849175,R-HSA-8963693,R-HSA-8964539,R-HSA-8964540,R-HSA-5653890,R-HSA-5661270,R-HSA-70370,R-HSA-71336,R-HSA-156842,R-HSA-114604,R-HSA-430116,R-HSA-456926,R-HSA-1433557,R-HSA-186797,R-HSA-8852405,R-HSA-201451,R-HSA-9033500,R-HSA-917977,R-HSA-1268020,R-HSA-9613829,R-HSA-9615710,R-HSA-9710421,R-HSA-9662360,R-HSA-9662361,R-HSA-9619665,R-HSA-9749641,R-HSA-9753281,R-HSA-9754706,R-HSA-983189,R-HSA-2672351
P07602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07900,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P07954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P07998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
P08123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P08185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
